GenomicLocus	leadSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
3	rs2476601	1	114303808	rs6679677	2008-11-26	18978792	Cooper JD	2008-11-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18978792	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	Type 1 diabetes	3,561 European ancestry cases, 4,646 European ancestry controls	6,225 European ancestry cases, 6,946 European ancestry controls, 3,064 European ancestry trios from 2,828 families	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	NR	1E-40	40.0				Affymetrix [up to 335565]	N
3	rs2476601	1	114303808	rs6679677	2012-05-25	22493691	Eriksson N	2012-04-06	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22493691	Novel associations for hypothyroidism include known autoimmune risk loci.	Hypothyroidism	3,736 European ancestry cases, 35,546 European ancestry controls	NA	1p13.2	PHTF1, RSBN1, PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.091	3E-13	12.522878745280337		1.361	[1.25-1.48]	Illumina [870065]	N
3	rs2476601	1	114303808	rs6679677	2013-02-12	23128233	Jostins L	2012-11-01	Nature	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	Up to 25,683 European ancestry cases, up to 17,015 European ancestry controls	1p13.2	DCLRE1B, PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-C	rs6679677	0	6679677	upstream_gene_variant	1	0.907	2E-15	14.698970004336019		1.196	[1.129-1.268]	Affymetrix, Illumina [1230000] (imputed)	N
3	rs2476601	1	114303808	rs6679677	2016-08-31	26301688	Li YR	2015-08-24	Nat Med	www.ncbi.nlm.nih.gov/pubmed/26301688	Meta-analysis of shared genetic architecture across ten pediatric autoimmune diseases.	Pediatric autoimmune diseases	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	NA	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.09	8E-11	10.096910013008056				Illumina [7347414] (imputed)	N
3	rs2476601	1	114303808	rs6679677	2016-09-23	26502338	Bentham J	2015-10-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26502338	Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus.	Systemic lupus erythematosus	5,201 European ancestry cases, 9,066 European ancestry controls	NA	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1		1E-15	15.0		1.39	[NR]	Illumina [> 644674] (imputed)	N
3	rs2476601	1	114377568	rs2476601	2008-06-16	17554260	Todd JA	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554260	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	Type 1 diabetes	2,000 European ancestry cases, 3,000 European ancestry controls	2,997 European ancestry trios, 4,000 European ancestry cases, 5,000 European ancestry controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-T	rs2476601	0	2476601	missense_variant	0	0.09	2E-80	79.69897000433602		1.98	[1.82-2.15]	Affymetrix [NR]	N
3	rs2476601	1	114377568	rs2476601	2008-06-16	17632545	Hakonarson H	2007-07-15	Nature	www.ncbi.nlm.nih.gov/pubmed/17632545	A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene.	Type 1 diabetes	467 European ancestry trios, 561 European ancestry cases, 1,143 European ancestry controls	390 European ancestry trios, 1,333 European ancestry cases from 549 families	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-A	rs2476601	0	2476601	missense_variant	0	0.09	1E-7	7.0		1.8	[1.44-2.24]	Illumina [543071]	N
3	rs2476601	1	114377568	rs2476601	2008-06-16	17804836	Plenge RM	2007-09-05	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/17804836	TRAF1-C5 as a risk locus for rheumatoid arthritis--a genomewide study.	Rheumatoid arthritis	1,522 European ancestry cases, 1,850 European ancestry controls	1,053 European ancestry cases, 1,858 European ancestry controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-?	rs2476601	0	2476601	missense_variant	0	0.10	2E-11	10.698970004336019		1.72	[NR]	Illumina [297086]	N
3	rs2476601	1	114377568	rs2476601	2008-07-11	18587394	Barrett JC	2008-06-29	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18587394	Genome-wide association defines more than 30 distinct susceptibility loci for Crohn's disease.	Crohn's disease	3,230 European ancestry cases, 4,829 European ancestry controls	1,339 European ancestry trios, 2,325 European ancestry cases, 1,809 European ancestry controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-G	rs2476601	0	2476601	missense_variant	0	0.90	1E-8	8.0		1.31	[NR]	Affymetrix, Illumina [635547] (imputed)	N
3	rs2476601	1	114377568	rs2476601	2009-06-01	19430480	Barrett JC	2009-05-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19430480	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	Type 1 diabetes	7,514 cases, 9,045 controls	4,267 cases, 4,670 controls, 4,342 trios from 2,319 families	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-?	rs2476601	0	2476601	missense_variant	0	NR	9E-85	84.04575749056067				Affymetrix, Illumina [841622] (imputed)	N
3	rs2476601	1	114377568	rs2476601	2009-06-17	19503088	Gregersen PK	2009-06-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19503088	REL, encoding a member of the NF-kappaB family of transcription factors, is a newly defined risk locus for rheumatoid arthritis.	Rheumatoid arthritis	2,418 European ancestry cases, 4,504 European ancestry controls	2,604 cases, 2,882 controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-?	rs2476601	0	2476601	missense_variant	0	NR	2E-21	20.69897000433602				Illumina [278502]	N
3	rs2476601	1	114377568	rs2476601	2010-05-18	20410501	Jin Y	2010-04-21	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20410501	Variant of TYR and autoimmunity susceptibility loci in generalized vitiligo.	Vitiligo	1,392 European ancestry cases, 2,629 European ancestry controls	647 European ancestry cases, 1,056 European ancestry controls, 183 European ancestry trios, 1,383 European ancestry individuals from 332 families	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-A	rs2476601	0	2476601	missense_variant	0	0.095	1E-7	7.0		1.39	[1.23-1.57]	Illumina [520460]	N
3	rs2476601	1	114377568	rs2476601	2010-06-13	20453842	Stahl EA	2010-05-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20453842	Genome-wide association study meta-analysis identifies seven new rheumatoid arthritis risk loci.	Rheumatoid arthritis	5,539 European ancestry cases, 20,169 European ancestry controls	6,768 European ancestry cases, 8,806 European ancestry controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-A	rs2476601	0	2476601	missense_variant	0	0.10	9E-74	73.04575749056067		1.94	[1.81-2.08]	Affymetrix, Illumina [~ 2716259] (imputed)	N
3	rs2476601	1	114377568	rs2476601	2011-09-21	21829393	Plagnol V	2011-08-04	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21829393	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	Type 1 diabetes autoantibodies	12,501 European ancestry cases	3,598 sibling cases	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-A	rs2476601	0	2476601	missense_variant	0	NR	2E-111	110.69897000433602	(T1D)	2.0	[NR]	Affymetrix, Illumina [NR]	N
3	rs2476601	1	114377568	rs2476601	2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-G	rs2476601	0	2476601	missense_variant	0	0.907	4E-9	8.397940008672037		1.26	[1.17-1.37]	Affymetrix, Illumina [953241] (imputed)	N
3	rs2476601	1	114377568	rs2476601	2012-11-22	23055271	Gregersen PK	2012-07-16	Ann Neurol	www.ncbi.nlm.nih.gov/pubmed/23055271	Risk for myasthenia gravis maps to a (151) Pro&#x000e2;&#x00086;&#x00092;Ala change in TNIP1 and to human leukocyte antigen-B*08.	Myasthenia gravis	400 European ancestry cases, 5,505 European ancestry controls	249 European ancestry cases, 3,415 European ancestry controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-A	rs2476601	0	2476601	missense_variant	0	0.11	8E-10	9.096910013008056		1.71	[1.44-2.02]	Illumina [274256]	N
3	rs2476601	1	114377568	rs2476601	2014-07-02	21156761	Padyukov L	2010-12-14	Ann Rheum Dis	www.ncbi.nlm.nih.gov/pubmed/21156761	A genome-wide association study suggests contrasting associations in ACPA-positive versus ACPA-negative rheumatoid arthritis.	Rheumatoid arthritis	1,147 European ancestry ACPA positive RA cases, 774 European ancestry ACPA negative RA cases, 1,079 European ancestry controls	887 European ancestry ACPA positive RA cases, 1,218 European ancestry controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-?	rs2476601	0	2476601	missense_variant	0	NR	1E-8	8.0	(ACPA-positive RA vs controls)			Illumina [1723056] (imputed)	N
3	rs2476601	1	114377568	rs2476601	2014-08-05	24390342	Okada Y	2013-12-25	Nature	www.ncbi.nlm.nih.gov/pubmed/24390342	Genetics of rheumatoid arthritis contributes to biology and drug discovery.	Rheumatoid arthritis	up to 14,361 European ancestry cases, up to 42,923 European ancestry controls, up to 4,873 East Asian ancestry cases, up to 17,642 East Asian ancestry controls	up to 3,775 European ancestry cases, up to 5,801 European ancestry controls, up to 6,871 East Asian ancestry cases, up to 6,392 East Asian ancestry controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-A	rs2476601	0	2476601	missense_variant	0	0.09	9E-170	169.04575749056067	(EA)	1.8	[1.73-1.88]	Affymetrix, Illumina [up to 9739303] (imputed)	N
3	rs2476601	1	114377568	rs2476601	2014-10-10	24449572	Orozco G	2014-01-01	Arthritis Rheumatol	www.ncbi.nlm.nih.gov/pubmed/24449572	Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.	Rheumatoid arthritis	3,034 European ancestry cases, 5,271 European ancestry controls	4,726 European ancestry cases, 2,625 European ancestry controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-?	rs2476601	0	2476601	missense_variant	0		5E-33	32.30102999566398		1.77	[1.61-1.95]	Affymetrix, Illumina [1831729] (imputed)	N
3	rs2476601	1	114377568	rs2476601	2016-02-04	25936594	Tomer Y	2015-04-27	J Autoimmun	www.ncbi.nlm.nih.gov/pubmed/25936594	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	Type 1 diabetes and autoimmune thyroid diseases	346 European ancestry cases, 727 European ancestry controls	185 European ancestry cases, 340 European ancestry controls	1p13.2	PHTF1, PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-A	rs2476601	0	2476601	missense_variant	0	NR	7E-20	19.154901959985743		2.7073		Illumina [514008]	N
3	rs2476601	1	114377568	rs2476601	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Crohn's disease	5,956 European ancestry cases, 14,927 European ancestry controls	14,594 European ancestry cases, 26,715 European ancestry controls, 151 Iranian ancestry cases, 342 Iranian ancestry controls, 184 Indian ancestry cases, 990 Indian ancestry controls, 1,690 East Asian ancestry cases, 3,719 East Asian ancestry controls	1p13.2	NR	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-?	rs2476601	0	2476601	missense_variant	0	NR	4E-17	16.397940008672037	(EA)			Affymetrix, Illumina [~ 9000000] (imputed)	N
3	rs2476601	1	114377568	rs2476601	2016-09-23	26502338	Bentham J	2015-10-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26502338	Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus.	Systemic lupus erythematosus	5,201 European ancestry cases, 9,066 European ancestry controls	2,018 European ancestry cases, 6,925 European ancestry controls	1p13.2	PTPN22	AP4B1-AS1, PTPN22			100287722, 26191			rs2476601-A	rs2476601	0	2476601	missense_variant	0		1E-28	28.0		1.43	[1.34–1.53]	Illumina [644674]	N
4	rs1142287	1	155230131	rs1142287	2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1q22	SCAMP3, MUC1	SCAMP3			10067			rs3180018-A	rs1142287	1	3180018	synonymous_variant	0	0.25	2E-13	12.698970004336019		1.13	[1.06-1.19]	Affymetrix, Illumina [953241] (imputed)	N
4	rs821551	1	155682870	rs490608	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Inflammatory bowel disease	12,882 European ancestry cases, 21,770 European ancestry controls	25,273 European ancestry cases, 26,715 European ancestry controls, 548 Iranian ancestry cases, 342 Iranian ancestry control, 1,423 Indian ancestry cases, 990 Indian ancestry controls, 2,824 East Asian ancestry cases, 3,719 East Asian ancestry controls	1q22	NR	DAP3			7818			rs490608-?	rs490608		490608	intron_variant	0	NR	1E-6	6.0	(EA)			Affymetrix, Illumina [~ 9000000] (imputed)	N
4	rs867549	1	155868625	rs2282301	2009-01-15	18846501	Sonuga-Barke EJ	2008-10-07	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/18846501	Does parental expressed emotion moderate genetic effects in ADHD? An exploration using a genome wide association scan.	Conduct disorder (interaction)	909 European ancestry trios	NA	1q22	RIT1	RIT1			6016			rs2282301-A	rs2282301	0	2282301	3_prime_UTR_variant	0	0.23	7E-6	5.154901959985743	(int, MW)	2.88	[NR] unit increase	Perlegen [429901]	N
4	rs821551	1	155878732	rs670523	2013-02-12	23128233	Jostins L	2012-11-01	Nature	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	25,683 European ancestry cases, 17,015 European ancestry controls	1q22	RIT1, MSTO1, UBQLN4	RIT1			6016			rs670523-A	rs670523	0	670523	intron_variant	0	0.324	6E-11	10.221848749616356		1.06	[1.028-1.092]	Affymetrix, Illumina [1230000] (imputed)	N
4	rs821551	1	155878732	rs670523	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Crohn's disease	5,956 European ancestry cases, 14,927 European ancestry controls	14,594 European ancestry cases, 26,715 European ancestry controls, 151 Iranian ancestry cases, 342 Iranian ancestry controls, 184 Indian ancestry cases, 990 Indian ancestry controls, 1,690 East Asian ancestry cases, 3,719 East Asian ancestry controls	1q22	NR	RIT1			6016			rs670523-A	rs670523	0	670523	intron_variant	0	0.329	6E-9	8.221848749616356	(EA)	1.0770509	[1.05-1.1]	Affymetrix, Illumina [~ 9000000] (imputed)	N
4	rs867549	1	155927752	rs2364403	2012-11-20	22959728	Ahmeti KB	2012-09-05	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/22959728	Age of onset of amyotrophic lateral sclerosis is modulated by a locus on 1p34.1.	Amyotrophic lateral sclerosis (age of onset)	4,243 European ancestry cases	NA	1q22	ARHGEF2	ARHGEF2			9181			rs2364403-A	rs2364403	0	2364403	intron_variant	0	0.2	1E-6	6.0	(Meta)			Illumina [254145]	N
5	rs4656940	1	160830268	rs4656940	2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1q23.3	CD244, ITLN1	CD244			51744			rs4656940-A	rs4656940	0	4656940	intron_variant	0	0.801	6E-7	6.221848749616356		1.15	[1.09-1.21]	Affymetrix, Illumina [953241] (imputed)	N
6	rs7517810	1	172838848	rs34884278	2016-08-31	26301688	Li YR	2015-08-24	Nat Med	www.ncbi.nlm.nih.gov/pubmed/26301688	Meta-analysis of shared genetic architecture across ten pediatric autoimmune diseases.	Pediatric autoimmune diseases	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	NA	1q24.3	TNFSF18	LOC105371618 - TNFSF18	105371618	8995		33633	171512	rs34884278-C	rs34884278		34884278	intron_variant	1	0.3	4E-7	6.3979400086720375				Illumina [7347414] (imputed)	N
6	rs7517810	1	172844352	rs6425143	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Crohn's disease	5,956 European ancestry cases, 14,927 European ancestry controls	14,594 European ancestry cases, 26,715 European ancestry controls, 151 Iranian ancestry cases, 342 Iranian ancestry controls, 184 Indian ancestry cases, 990 Indian ancestry controls, 1,690 East Asian ancestry cases, 3,719 East Asian ancestry controls	1q24.3	NR	LOC105371618 - TNFSF18	105371618	8995		39137	166008	rs6425143-?	rs6425143		6425143	intron_variant	1	NR	3E-22	21.522878745280337	(EA)			Affymetrix, Illumina [~ 9000000] (imputed)	N
